Year,CO2,CH4,N2O,CO,Unit
1,1.69E-15,2.03E-13,3.55E-13,2.66E-15,W.m-2.kg-1
2,1.59E-15,1.87E-13,3.53E-13,2.50E-15,W.m-2.kg-1
3,1.50E-15,1.73E-13,3.50E-13,2.36E-15,W.m-2.kg-1
4,1.43E-15,1.60E-13,3.47E-13,2.25E-15,W.m-2.kg-1
5,1.38E-15,1.48E-13,3.44E-13,2.16E-15,W.m-2.kg-1
6,1.33E-15,1.37E-13,3.41E-13,2.09E-15,W.m-2.kg-1
7,1.29E-15,1.26E-13,3.38E-13,2.02E-15,W.m-2.kg-1
8,1.25E-15,1.17E-13,3.35E-13,1.97E-15,W.m-2.kg-1
9,1.22E-15,1.08E-13,3.33E-13,1.92E-15,W.m-2.kg-1
10,1.20E-15,9.99E-14,3.30E-13,1.88E-15,W.m-2.kg-1
11,1.18E-15,9.24E-14,3.27E-13,1.85E-15,W.m-2.kg-1
12,1.16E-15,8.55E-14,3.25E-13,1.82E-15,W.m-2.kg-1
13,1.14E-15,7.91E-14,3.22E-13,1.79E-15,W.m-2.kg-1
14,1.12E-15,7.32E-14,3.19E-13,1.76E-15,W.m-2.kg-1
15,1.11E-15,6.78E-14,3.17E-13,1.74E-15,W.m-2.kg-1
16,1.09E-15,6.28E-14,3.14E-13,1.72E-15,W.m-2.kg-1
17,1.08E-15,5.82E-14,3.11E-13,1.70E-15,W.m-2.kg-1
18,1.07E-15,5.39E-14,3.09E-13,1.68E-15,W.m-2.kg-1
19,1.06E-15,4.99E-14,3.06E-13,1.67E-15,W.m-2.kg-1
20,1.05E-15,4.63E-14,3.04E-13,1.65E-15,W.m-2.kg-1
21,1.04E-15,4.29E-14,3.01E-13,1.63E-15,W.m-2.kg-1
22,1.03E-15,3.98E-14,2.99E-13,1.62E-15,W.m-2.kg-1
23,1.02E-15,3.69E-14,2.96E-13,1.60E-15,W.m-2.kg-1
24,1.01E-15,3.43E-14,2.94E-13,1.59E-15,W.m-2.kg-1
25,1.00E-15,3.19E-14,2.92E-13,1.58E-15,W.m-2.kg-1
26,9.96E-16,2.96E-14,2.89E-13,1.57E-15,W.m-2.kg-1
27,9.88E-16,2.75E-14,2.87E-13,1.55E-15,W.m-2.kg-1
28,9.80E-16,2.56E-14,2.84E-13,1.54E-15,W.m-2.kg-1
29,9.73E-16,2.38E-14,2.82E-13,1.53E-15,W.m-2.kg-1
30,9.66E-16,2.22E-14,2.80E-13,1.52E-15,W.m-2.kg-1
31,9.59E-16,2.07E-14,2.77E-13,1.51E-15,W.m-2.kg-1
32,9.52E-16,1.93E-14,2.75E-13,1.50E-15,W.m-2.kg-1
33,9.46E-16,1.80E-14,2.73E-13,1.49E-15,W.m-2.kg-1
34,9.39E-16,1.68E-14,2.71E-13,1.48E-15,W.m-2.kg-1
35,9.33E-16,1.57E-14,2.68E-13,1.47E-15,W.m-2.kg-1
36,9.27E-16,1.47E-14,2.66E-13,1.46E-15,W.m-2.kg-1
37,9.21E-16,1.37E-14,2.64E-13,1.45E-15,W.m-2.kg-1
38,9.15E-16,1.29E-14,2.62E-13,1.44E-15,W.m-2.kg-1
39,9.09E-16,1.21E-14,2.60E-13,1.43E-15,W.m-2.kg-1
40,9.04E-16,1.13E-14,2.58E-13,1.42E-15,W.m-2.kg-1
41,8.98E-16,1.06E-14,2.55E-13,1.41E-15,W.m-2.kg-1
42,8.93E-16,9.99E-15,2.53E-13,1.40E-15,W.m-2.kg-1
43,8.88E-16,9.41E-15,2.51E-13,1.39E-15,W.m-2.kg-1
44,8.82E-16,8.87E-15,2.49E-13,1.39E-15,W.m-2.kg-1
45,8.78E-16,8.37E-15,2.47E-13,1.38E-15,W.m-2.kg-1
46,8.73E-16,7.90E-15,2.45E-13,1.37E-15,W.m-2.kg-1
47,8.68E-16,7.48E-15,2.43E-13,1.36E-15,W.m-2.kg-1
48,8.63E-16,7.08E-15,2.41E-13,1.36E-15,W.m-2.kg-1
49,8.59E-16,6.72E-15,2.39E-13,1.35E-15,W.m-2.kg-1
50,8.54E-16,6.38E-15,2.37E-13,1.34E-15,W.m-2.kg-1
51,8.50E-16,6.06E-15,2.35E-13,1.34E-15,W.m-2.kg-1
52,8.46E-16,5.78E-15,2.33E-13,1.33E-15,W.m-2.kg-1
53,8.42E-16,5.51E-15,2.31E-13,1.32E-15,W.m-2.kg-1
54,8.38E-16,5.26E-15,2.29E-13,1.32E-15,W.m-2.kg-1
55,8.34E-16,5.03E-15,2.28E-13,1.31E-15,W.m-2.kg-1
56,8.30E-16,4.82E-15,2.26E-13,1.30E-15,W.m-2.kg-1
57,8.26E-16,4.62E-15,2.24E-13,1.30E-15,W.m-2.kg-1
58,8.22E-16,4.44E-15,2.22E-13,1.29E-15,W.m-2.kg-1
59,8.19E-16,4.27E-15,2.20E-13,1.29E-15,W.m-2.kg-1
60,8.15E-16,4.11E-15,2.18E-13,1.28E-15,W.m-2.kg-1
61,8.12E-16,3.96E-15,2.16E-13,1.28E-15,W.m-2.kg-1
62,8.08E-16,3.83E-15,2.15E-13,1.27E-15,W.m-2.kg-1
63,8.05E-16,3.70E-15,2.13E-13,1.26E-15,W.m-2.kg-1
64,8.02E-16,3.59E-15,2.11E-13,1.26E-15,W.m-2.kg-1
65,7.98E-16,3.48E-15,2.09E-13,1.25E-15,W.m-2.kg-1
66,7.95E-16,3.38E-15,2.08E-13,1.25E-15,W.m-2.kg-1
67,7.92E-16,3.29E-15,2.06E-13,1.25E-15,W.m-2.kg-1
68,7.89E-16,3.20E-15,2.04E-13,1.24E-15,W.m-2.kg-1
69,7.86E-16,3.12E-15,2.03E-13,1.24E-15,W.m-2.kg-1
70,7.83E-16,3.05E-15,2.01E-13,1.23E-15,W.m-2.kg-1
71,7.81E-16,2.98E-15,1.99E-13,1.23E-15,W.m-2.kg-1
72,7.78E-16,2.91E-15,1.98E-13,1.22E-15,W.m-2.kg-1
73,7.75E-16,2.85E-15,1.96E-13,1.22E-15,W.m-2.kg-1
74,7.72E-16,2.79E-15,1.94E-13,1.21E-15,W.m-2.kg-1
