Time;Node;Value
0.0;CO2 emissions;10.613906792125
0.0;CH4 emissions;0.010093207875000001
0.0;N2O emissions;0.0017910564425
1.0;CO2 emissions;0.01985628377676833
1.0;CH4 emissions;0.0057016525959378735
1.0;N2O emissions;5.735309679211327e-08
2.0;CO2 emissions;1.4348887691516579
2.0;CH4 emissions;0.036258336098056294
2.0;N2O emissions;0.00022259848670918493
3.0;CO2 emissions;1.1255584016163704
3.0;CH4 emissions;0.05552769538614541
3.0;N2O emissions;0.00015950940840961394
4.0;CO2 emissions;1.0746060424613444
4.0;CH4 emissions;0.07121912151914754
4.0;N2O emissions;0.0001421527323249332
5.0;CO2 emissions;22.222410380489798
5.0;CH4 emissions;0.10327667138829373
5.0;N2O emissions;0.0037041168592834564
6.0;CO2 emissions;0.9658820619171884
6.0;CH4 emissions;0.10331570523953364
6.0;N2O emissions;0.00010562806087872722
7.0;CO2 emissions;3.7324588761015574
7.0;CH4 emissions;0.1707124405961914
7.0;N2O emissions;0.0005364692084293632
8.0;CO2 emissions;3.055532365456928
8.0;CH4 emissions;0.2134463544736106
8.0;N2O emissions;0.0003980964851684871
9.0;CO2 emissions;2.899949667188591
9.0;CH4 emissions;0.24731285621700264
9.0;N2O emissions;0.00035291798753376256
10.0;CO2 emissions;2.6904104413171464
10.0;CH4 emissions;0.272144489717973
10.0;N2O emissions;0.0003036352126653926
11.0;CO2 emissions;2.5077941381530335
11.0;CH4 emissions;0.28975030337132934
11.0;N2O emissions;0.00026293283761270577
12.0;CO2 emissions;2.3384658230120543
12.0;CH4 emissions;0.301374176832597
12.0;N2O emissions;0.00022781003426050974
13.0;CO2 emissions;2.1826820271044576
13.0;CH4 emissions;0.30810434841065293
13.0;N2O emissions;0.00019770430644420396
14.0;CO2 emissions;2.038898317834216
14.0;CH4 emissions;0.3108502808494785
14.0;N2O emissions;0.00017184782212788124
15.0;CO2 emissions;1.906008464249655
15.0;CH4 emissions;0.31037663441620256
15.0;N2O emissions;0.00014962756117920981
