Time;Node;Value
0.0;Industrial Roundwood;50.0
0.0;Roundwood from GCBM;50.0
0.0;"P&amp;P production";50.0
0.0;Papers produced;12.5
0.0;Cardboards produced;12.5
0.0;"Others P&amp;P produced";12.5
0.0;"Unused P&amp;P biomass";12.5
0.0;"Landfilled, MSW P&amp;P";0.125
0.0;"Landfilled, industrial P&amp;P";1.5125
0.0;"Bioenergy feedstock, P&amp;P";5.9625
0.0;CO2 emissions;10.613906792125
0.0;CH4 emissions;0.010093207875000001
0.0;"Non-degradable, Landfilled, industrial P&amp;P";1.134375
0.0;"Degradable, Landfilled, industrial P&amp;P";0.378125
0.0;"Non degradable, Landfilled, MSW P&amp;P";0.0625
0.0;"Degradable,  Landfilled, MSW P&amp;P";0.0625
0.0;N2O emissions;0.0017910564425
0.0;"Bio-CH4, Unused P&amp;P";0.375
0.0;Land application;4.525
0.0;Biomethanisation, combustion;0.36712500000000003
0.0;Ash;0.23850000000000002
0.0;Solid bioenergy feedstock, gaz fraction;5.724
1.0;Papers, storage;3.6611652351681556
1.0;Cardboards, storage;3.6611652351681556
1.0;"Others P&amp;P, storage";3.6611652351681556
1.0;"Landfilled, MSW P&amp;P";4.832738110421966
1.0;"Treatment/Disposal centre, P&amp;P";6.150757595082502
1.0;CO2 emissions;0.01985628377676833
1.0;CH4 emissions;0.0057016525959378735
1.0;"Site 1, Stockage, Landfilled industrial P&amp;P";0.021932697170903903
1.0;"CH4 production, Landfilled, industrial P&amp;P";0.005483174292725976
1.0;"CH4 fugitif, Landfilled, industrial P&amp;P";0.005483174292725976
1.0;"Non degradable, Landfilled, MSW P&amp;P";2.416369055210983
1.0;"Degradable,  Landfilled, MSW P&amp;P";2.416369055210983
1.0;"Site 2, Stockage, Landfilled, MSW P&amp;P";0.0036252392018022994
1.0;"CH4 produced, Landfilled, MSW P&amp;P";0.0018126196009011497
1.0;"CH4 to energy, Landfilled, MSW P&amp;P";0.0009425621924685979
1.0;"CH4 to atmosphere, Landfilled, MSW P&amp;P";0.0008519312124235403
1.0;"CH4 flared, Landfilled, MSW P&amp;P";1.8126196009011497e-05
1.0;N2O emissions;5.735309679211327e-08
1.0;"CH4 oxydation, Landfilled, industrial P&amp;P";0.0005483174292725976
1.0;"CH4 fugitive to atmosphere, Landfilled, industrial P&amp;P";0.004934856863453379
1.0;"CH4 oxydation, Landfilled, MSW P&amp;P";8.519312124235404e-05
1.0;"CH4 fugitive to atmosphere, Landfilled, MSW P&amp;P";0.0007667380911811863
1.0;"Quebec, Treatment/Disposal centre, P&amp;P";6.150757595082502
2.0;Cardboards produced;4.613068196311876
2.0;"Unused P&amp;P biomass";1.5376893987706255
2.0;Papers, storage;2.5888347648318444
2.0;Cardboards, storage;2.5888347648318444
2.0;"Others P&amp;P, storage";2.5888347648318444
2.0;"Landfilled, MSW P&amp;P";3.432638783565741
2.0;"Landfilled, industrial P&amp;P";0.18606041725124567
2.0;"Treatment/Disposal centre, P&amp;P";4.349242404917499
2.0;"Bioenergy feedstock, P&amp;P";0.7334778432135884
2.0;CO2 emissions;1.4348887691516579
2.0;CH4 emissions;0.036258336098056294
2.0;"Non-degradable, Landfilled, industrial P&amp;P";0.13954531293843425
2.0;"Degradable, Landfilled, industrial P&amp;P";0.04651510431281142
2.0;"Site 1, Stockage, Landfilled industrial P&amp;P";0.020660516793540418
2.0;"CH4 production, Landfilled, industrial P&amp;P";0.005165129198385104
2.0;"CH4 fugitif, Landfilled, industrial P&amp;P";0.005165129198385104
2.0;"Non degradable, Landfilled, MSW P&amp;P";1.7163193917828705
2.0;"Degradable,  Landfilled, MSW P&amp;P";1.7163193917828705
2.0;"Site 2, Stockage, Landfilled, MSW P&amp;P";0.1435736146530433
2.0;"CH4 produced, Landfilled, MSW P&amp;P";0.07178680732652165
2.0;"CH4 to energy, Landfilled, MSW P&amp;P";0.03732913980979126
2.0;"CH4 to atmosphere, Landfilled, MSW P&amp;P";0.033739799443465175
2.0;"CH4 flared, Landfilled, MSW P&amp;P";0.0007178680732652166
2.0;N2O emissions;0.00022259848670918493
2.0;"Bio-CH4, Unused P&amp;P";0.046130681963118765
2.0;Land application;0.5566435623549665
2.0;"CH4 oxydation, Landfilled, industrial P&amp;P";0.0005165129198385105
2.0;"CH4 fugitive to atmosphere, Landfilled, industrial P&amp;P";0.004648616278546594
2.0;"CH4 oxydation, Landfilled, MSW P&amp;P";0.0033739799443465177
2.0;"CH4 fugitive to atmosphere, Landfilled, MSW P&amp;P";0.03036581949911866
2.0;Biomethanisation, combustion;0.045161937641893274
2.0;Ash;0.029339113728543538
2.0;Solid bioenergy feedstock, gaz fraction;0.7041387294850449
2.0;"Quebec, Treatment/Disposal centre, P&amp;P";4.349242404917499
2.0;"P&amp;P, Recycled biomass";6.150757595082502
3.0;Cardboards produced;3.261931803688124
3.0;"Unused P&amp;P biomass";1.0873106012293747
3.0;Papers, storage;1.8305826175840778
3.0;Cardboards, storage;3.1817190102078303
3.0;"Others P&amp;P, storage";1.8305826175840778
3.0;"Landfilled, MSW P&amp;P";3.0217421739777275
3.0;"Landfilled, industrial P&amp;P";0.13156458274875435
3.0;"Treatment/Disposal centre, P&amp;P";3.8320151774105526
3.0;"Bioenergy feedstock, P&amp;P";0.5186471567864118
3.0;CO2 emissions;1.1255584016163704
3.0;CH4 emissions;0.05552769538614541
3.0;"Non-degradable, Landfilled, industrial P&amp;P";0.09867343706156576
3.0;"Degradable, Landfilled, industrial P&amp;P";0.03289114568718859
3.0;"Site 1, Stockage, Landfilled industrial P&amp;P";0.022160181821081044
3.0;"CH4 production, Landfilled, industrial P&amp;P";0.005540045455270261
3.0;"CH4 fugitif, Landfilled, industrial P&amp;P";0.005540045455270261
3.0;"Non degradable, Landfilled, MSW P&amp;P";1.5108710869888637
3.0;"Degradable,  Landfilled, MSW P&amp;P";1.5108710869888637
3.0;"Site 2, Stockage, Landfilled, MSW P&amp;P";0.23479888898456444
