Time,CH4 emissions,CO2 emissions,Unit
0,0.0,2.3270465129821637e-13,w/m2
1,5.652979981304783e-13,2.3143128121112623e-13,w/m2
2,1.0498854216044459e-12,2.310942850478223e-13,w/m2
3,1.7084973632209686e-12,2.2576725168948067e-13,w/m2
4,2.2677917850060373e-12,2.2161685510602183e-13,w/m2
5,2.738641222586648e-12,2.1836996537277955e-13,w/m2
6,3.1308726208417116e-12,2.1581262570281755e-13,w/m2
7,3.453360015996305e-12,2.1377759802517485e-13,w/m2
8,3.714109655398906e-12,2.1213450358238567e-13,w/m2
9,3.920338083518639e-12,2.1078201965894494e-13,w/m2
10,4.078543702783457e-12,2.096417053365943e-13,w/m2
11,4.194572294533992e-12,2.0865311777650269e-13,w/m2
12,4.273676959929953e-12,2.0776995075934953e-13,w/m2
13,4.320572914124943e-12,2.0695698288099757e-13,w/m2
14,4.339487540174414e-12,2.0618766692391433e-13,w/m2
15,4.3342060825134254e-12,2.0544222689622119e-13,w/m2
16,4.308113333834733e-12,2.0470615694867552e-13,w/m2
