Time,CH4 emissions,CO2 emissions,Unit
0,0.0,2.3270465129821637e-13,w/m2
1,5.652979981304783e-13,4.641359325093427e-13,w/m2
2,1.6151834197349243e-12,6.952302175571649e-13,w/m2
3,3.323680782955893e-12,9.209974692466456e-13,w/m2
4,5.59147256796193e-12,1.1426143243526673e-12,w/m2
5,8.330113790548579e-12,1.3609842897254468e-12,w/m2
6,1.146098641139029e-11,1.5767969154282643e-12,w/m2
7,1.4914346427386595e-11,1.7905745134534392e-12,w/m2
8,1.86284560827855e-11,2.002709017035825e-12,w/m2
9,2.254879416630414e-11,2.21349103669477e-12,w/m2
10,2.6627337869087596e-11,2.423132742031364e-12,w/m2
11,3.0821910163621586e-11,2.631785859807867e-12,w/m2
12,3.509558712355154e-11,2.8395558105672162e-12,w/m2
13,3.9416160037676485e-11,3.046512793448214e-12,w/m2
14,4.37556475778509e-11,3.2527004603721283e-12,w/m2
15,4.8089853660364324e-11,3.4581426872683494e-12,w/m2
16,5.239796699419906e-11,3.662848844217025e-12,w/m2
