Time,CH4 emissions,CO2 emissions,Unit
0,0.0,37.5,kgc
1,2.092719014474767,39.59271901447477,kgc
2,4.045294896996122,41.545294896996126,kgc
3,6.778021472303394,42.456203755431886,kgc
4,9.327745523914485,43.30611177263558,kgc
5,11.706722183382523,44.09910399245826,kgc
6,13.926385892762234,44.83899189558483,kgc
7,15.997405363730463,45.52933171924091,kgc
8,17.929734856258936,46.17344155008373,kgc
9,19.73266202330757,46.774417272433276,kgc
10,21.41485255150194,47.33514744849806,kgc
11,22.984391812358016,47.858327202116755,kgc
12,24.44882372424903,48.346471172747094,kgc
13,25.81518701190267,48.801925601964975,kgc
14,27.09004903770821,49.22687961056682,kgc
15,28.27953736744223,49.62337572047816,kgc
16,29.389369222132085,49.993319672041444,kgc
