Time,CH4 emissions,CO2 emissions,Unit
0,0.0,37.5,kgc
1,2.092719014474767,58.34271901447477,kgc
2,5.0916544042335055,61.34165440423351,kgc
3,9.288812891431792,62.7407072332996,kgc
4,13.20490023069652,64.04606967972117,kgc
5,16.858738915970104,65.2640159081457,kgc
6,20.267890955083836,66.4003999211836,kgc
7,23.44874228074192,67.46068369640297,kgc
8,26.416581508754508,68.44996343907383,kgc
9,29.185673422067374,69.37299407684478,kgc
10,31.76932753378606,70.23421211408434,kgc
11,34.17996205873932,71.03775695573543,kgc
12,36.42916360105838,71.78749080317512,kgc
13,38.527742844657524,72.48701721770817,kgc
14,40.485786514289885,73.13969844091896,kgc
15,42.31270585692668,73.74867155513122,kgc
16,44.017281876483544,74.31686356165018,kgc
17,45.607707539312585,74.84700544925987,kgc
18,47.09162715331888,75.3416453205953,kgc
19,48.47617310997531,75.80316063948078,kgc
20,49.76800016583466,76.23376965810056,kgc
